game_year,stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
2024,L,R,7,SI,1830,1171,0.6398907103825137
2024,L,R,7,SL,1675,924,0.5516417910447761
2024,L,R,7,ST,658,266,0.40425531914893614
2024,L,R,7,SV,44,13,0.29545454545454547
2024,L,R,8,CH,2895,2358,0.8145077720207254
2024,L,R,8,CS,1,1,1.0
2024,L,R,8,CU,1736,1242,0.7154377880184332
2024,L,R,8,EP,6,5,0.8333333333333334
2024,L,R,8,FA,10,7,0.7
2024,L,R,8,FC,1171,785,0.6703672075149445
2024,L,R,8,FF,4039,2034,0.5035899975241397
2024,L,R,8,FO,6,3,0.5
2024,L,R,8,FS,1073,923,0.8602050326188257
2024,L,R,8,KC,469,341,0.7270788912579957
2024,L,R,8,KN,36,29,0.8055555555555556
2024,L,R,8,SC,5,4,0.8
2024,L,R,8,SI,1965,1274,0.6483460559796438
2024,L,R,8,SL,2685,2112,0.7865921787709497
2024,L,R,8,ST,927,619,0.6677454153182308
2024,L,R,8,SV,59,31,0.5254237288135594
2024,L,R,9,CH,1252,657,0.5247603833865815
2024,L,R,9,CS,1,0,0.0
2024,L,R,9,CU,1151,814,0.7072111207645526
2024,L,R,9,EP,7,6,0.8571428571428571
2024,L,R,9,FA,6,5,0.8333333333333334
2024,L,R,9,FC,1240,923,0.7443548387096774
2024,L,R,9,FF,2939,1321,0.44947260973120107
2024,L,R,9,FO,2,2,1.0
2024,L,R,9,FS,470,332,0.7063829787234043
2024,L,R,9,KC,320,240,0.75
2024,L,R,9,KN,24,18,0.75
2024,L,R,9,SC,5,3,0.6
2024,L,R,9,SI,1275,511,0.40078431372549017
2024,L,R,9,SL,2354,1859,0.7897196261682243
2024,L,R,9,ST,844,649,0.768957345971564
2024,L,R,9,SV,51,40,0.7843137254901961
2024,L,R,11,CH,4016,837,0.2084163346613546
2024,L,R,11,CS,9,4,0.4444444444444444
2024,L,R,11,CU,2165,116,0.0535796766743649
2024,L,R,11,EP,76,24,0.3157894736842105
2024,L,R,11,FA,53,13,0.24528301886792453
2024,L,R,11,FC,3344,408,0.12200956937799043
2024,L,R,11,FF,20818,4574,0.21971370929003747
2024,L,R,11,FO,13,3,0.23076923076923078
2024,L,R,11,FS,1441,263,0.1825121443442054
2024,L,R,11,KC,508,28,0.05511811023622047
2024,L,R,11,KN,104,15,0.14423076923076922
2024,L,R,11,PO,22,0,0.0
2024,L,R,11,SC,16,0,0.0
2024,L,R,11,SI,3716,708,0.19052744886975242
2024,L,R,11,SL,2411,230,0.09539610120282041
2024,L,R,11,ST,1099,65,0.059144676979071886
2024,L,R,11,SV,70,2,0.02857142857142857
2024,L,R,12,CH,104,15,0.14423076923076922
2024,L,R,12,CS,3,2,0.6666666666666666
2024,L,R,12,CU,222,30,0.13513513513513514
2024,L,R,12,EP,14,6,0.42857142857142855
2024,L,R,12,FA,21,7,0.3333333333333333
2024,L,R,12,FC,3112,1136,0.36503856041131105
2024,L,R,12,FF,8997,3153,0.3504501500500167
2024,L,R,12,FS,55,11,0.2
2024,L,R,12,KC,72,13,0.18055555555555555
2024,L,R,12,KN,8,2,0.25
2024,L,R,12,SC,2,1,0.5
2024,L,R,12,SI,1369,157,0.11468224981738495
2024,L,R,12,SL,813,302,0.3714637146371464
2024,L,R,12,ST,191,84,0.4397905759162304
2024,L,R,12,SV,5,3,0.6
2024,L,R,13,CH,11779,4938,0.4192206469139995
2024,L,R,13,CS,4,2,0.5
2024,L,R,13,CU,3258,1070,0.3284223449969306
2024,L,R,13,EP,21,4,0.19047619047619047
2024,L,R,13,FA,21,3,0.14285714285714285
2024,L,R,13,FC,1306,171,0.13093415007656967
2024,L,R,13,FF,5051,651,0.12888536923381508
2024,L,R,13,FO,10,4,0.4
2024,L,R,13,FS,4209,1838,0.4366832976954146
2024,L,R,13,KC,938,346,0.36886993603411516
2024,L,R,13,KN,112,39,0.3482142857142857
2024,L,R,13,PO,2,0,0.0
2024,L,R,13,SC,20,0,0.0
2024,L,R,13,SI,3774,1117,0.2959724430312666
2024,L,R,13,SL,3683,1077,0.29242465381482485
2024,L,R,13,ST,1300,216,0.16615384615384615
2024,L,R,13,SV,92,16,0.17391304347826086
2024,L,R,14,CH,5788,1266,0.218728403593642
2024,L,R,14,CS,7,2,0.2857142857142857
2024,L,R,14,CU,5565,2006,0.3604672057502246
